Title,Commune,Price,Area_m2,Bedrooms,Bathrooms,ParkingSpots
ArriendoDepto1D/50%DCTO/1ERMESGRATISGC/Garantíaenpartes/UniversidaddeSantiago,EstaciónCentral,$260.000-4%,,1.0,1.0,
Depto.2D+1B+E+B/50%DCTO/1ERMESGRATISGC/Garantíaenpartes/SanAlbertoHurtado,EstaciónCentral,$340.000-3%Oportunidad,,2.0,1.0,1
TRESDORMITORIOSUNBAÑOYBODEGAyDOSDORMITORIOSDISPONIBLESEDIFICIONUCLEO,EstaciónCentral,$450.000-6%,65m2,3.0,2.0,
"DEPARTAMENTOThompson4225,EstaciónCentral",EstaciónCentral,$295.00,32m2,1.0,1.0,
DEPARTAMENTOZañartu980,Ñuñoa,$379.97,37m2,1.0,1.0,
"DEPARTAMENTOCoronelRobles1140,Quintanormal",QuintaNormal,$403.53,54m2,2.0,2.0,
"DEPARTAMENTOSanIgnacio952,Santiago.",Santiago,$405.00,40m2,2.0,1.0,
"DEPARTAMENTOPortugal755,Santiago.",Santiago,$415.00,40m2,2.0,1.0,
ARRIENDODOSDORMITORIOSMETROHOSPITALESINDEPENDENCIA,Independencia,$320.00,45m2,2.0,1.0,
"Arriendo1Dormitorio,SantaRosa,MetroSantaLucia",Santiago,$270.000-7%,36m2,1.0,1.0,
"DEPARTAMENTOSanDiego895,Santiago.",Santiago,$410.00,43m2,2.0,1.0,
"DEPARTAMENTOCoronelRobles1140,QuintaNormal.",QuintaNormal,$302.00,29m2,1.0,1.0,
DEPARTAMENTOZañartu980,Ñuñoa,$515.00,49m2,2.0,2.0,
DEPARTAMENTONuevaAndrésBello1826,Independencia,$430.00,48m2,3.0,1.0,
DEPARTAMENTONuevaAndrésBello1826,Independencia,$350.00,41m2,2.0,1.0,
"DEPARTAMENTOLira254,Santiago.",Santiago,$329.00,30m2,1.0,1.0,
"Arriendo1dorm.Chiloé1221,MetroMatta",Santiago,$270.000Oportunidad,34m2,1.0,1.0,
