Titulo,Comuna,Precio_CLP,Area_m2,Dormitorios,Baños,Estacionamientos,Precio_por_m2,Tamaño
ArriendoDepto1D/50%DCTO/1ERMESGRATISGC/Garantíaenpartes/UniversidaddeSantiago,Estación Central,260000.0,,1.0,1.0,0,,Sin dato
Depto.2D+1B+E+B/50%DCTO/1ERMESGRATISGC/Garantíaenpartes/SanAlbertoHurtado,Estación Central,340000.0,,2.0,1.0,1,,Sin dato
TRESDORMITORIOSUNBAÑOYBODEGAyDOSDORMITORIOSDISPONIBLESEDIFICIONUCLEO,Estación Central,450000.0,65.0,3.0,2.0,0,6923.0,Mediano (55-74m2)
"DEPARTAMENTOThompson4225,EstaciónCentral",Estación Central,,32.0,1.0,1.0,0,,Studio / Mini (<35m2)
DEPARTAMENTOZañartu980,Ñuñoa,,37.0,1.0,1.0,0,,Pequeño (35-54m2)
"DEPARTAMENTOCoronelRobles1140,Quintanormal",Quinta Normal,,54.0,2.0,2.0,0,,Pequeño (35-54m2)
"DEPARTAMENTOSanIgnacio952,Santiago.",Santiago,,40.0,2.0,1.0,0,,Pequeño (35-54m2)
"DEPARTAMENTOPortugal755,Santiago.",Santiago,,40.0,2.0,1.0,0,,Pequeño (35-54m2)
ARRIENDODOSDORMITORIOSMETROHOSPITALESINDEPENDENCIA,Independencia,,45.0,2.0,1.0,0,,Pequeño (35-54m2)
"Arriendo1Dormitorio,SantaRosa,MetroSantaLucia",Santiago,270000.0,36.0,1.0,1.0,0,7500.0,Pequeño (35-54m2)
"DEPARTAMENTOSanDiego895,Santiago.",Santiago,,43.0,2.0,1.0,0,,Pequeño (35-54m2)
"DEPARTAMENTOCoronelRobles1140,QuintaNormal.",Quinta Normal,,29.0,1.0,1.0,0,,Studio / Mini (<35m2)
DEPARTAMENTOZañartu980,Ñuñoa,51500.0,49.0,2.0,2.0,0,1051.0,Pequeño (35-54m2)
DEPARTAMENTONuevaAndrésBello1826,Independencia,,48.0,3.0,1.0,0,,Pequeño (35-54m2)
DEPARTAMENTONuevaAndrésBello1826,Independencia,,41.0,2.0,1.0,0,,Pequeño (35-54m2)
"DEPARTAMENTOLira254,Santiago.",Santiago,,30.0,1.0,1.0,0,,Studio / Mini (<35m2)
"Arriendo1dorm.Chiloé1221,MetroMatta",Santiago,270000.0,34.0,1.0,1.0,0,7941.0,Studio / Mini (<35m2)
DEPARTAMENTOAbateMolina/Av.BlancoEncalada,Santiago,230000.0,39.0,1.0,1.0,0,5897.0,Pequeño (35-54m2)
"DEPARTAMENTOPortugal755,Santiago.",Santiago,,31.0,1.0,1.0,0,,Studio / Mini (<35m2)
"DEPARTAMENTOPedroMira1028,SanMiguel.",San Miguel,,32.0,1.0,1.0,0,,Studio / Mini (<35m2)
"DEPARTAMENTOLira320,Santiago",Santiago,,31.0,1.0,1.0,0,,Studio / Mini (<35m2)
"DEPARTAMENTOLira320,Santiago.",Santiago,,25.0,1.0,1.0,0,,Studio / Mini (<35m2)
"DEPARTAMENTOPedroMira1028,SanMiguel.",San Miguel,420000.0,44.0,2.0,1.0,0,9545.0,Pequeño (35-54m2)
"DEPARTAMENTOThompson4225,EstaciónCentral",Estación Central,,47.0,2.0,2.0,0,,Pequeño (35-54m2)
"DEPARTAMENTOColón6503,LaCisterna.",La Cisterna,,44.0,2.0,2.0,0,,Pequeño (35-54m2)
